filename,artist,style,genre
102257.jpg,Barnett Newman,Color Field Painting,abstract
29855.jpg,Tosa Mitsuoki,Yamato-e,mythological painting
63861.jpg,Barnett Newman,Color Field Painting,abstract
84512.jpg,Franz Richard Unterberger,Romanticism,cityscape
53180.jpg,Hiroshige,Ukiyo-e,bird-and-flower painting
59792.jpg,Mabuse,Northern Renaissance,religious painting
48138.jpg,Utagawa Kunisada,Ukiyo-e,landscape
99442.jpg,Ivan Aivazovsky,Romanticism,marina
32996.jpg,Paul Serusier,Cloisonnism,genre painting
23508.jpg,Hiroshige,Ukiyo-e,bird-and-flower painting
82352.jpg,Hieronymus Bosch,Northern Renaissance,religious painting
27254.jpg,Hiroshige,Ukiyo-e,bird-and-flower painting
85864.jpg,Mark Rothko,Abstract Art,abstract
59145.jpg,Barnett Newman,Color Field Painting,abstract
16876.jpg,Jan van Eyck,Northern Renaissance,religious painting
75956.jpg,Jan Matejko,Romanticism,history painting
48177.jpg,Ferdinand Georg Waldmüller,Biedermeier,still life
24465.jpg,Konstantin Vasilyev,Symbolism,genre painting
7486.jpg,Gustave Dore,Romanticism,religious painting
35766.jpg,Gustave Dore,Romanticism,religious painting
28363.jpg,Clara Peeters,Baroque,still life
71024.jpg,Hiroshige,Ukiyo-e,animal painting
70728.jpg,Diego Velazquez,Baroque,self-portrait
62982.jpg,Matthias Stom,Tenebrism,religious painting
31977.jpg,Gustave Dore,Romanticism,illustration
71435.jpg,Lyonel Feininger,Cubism,cityscape
59486.jpg,Gerrit Dou,Baroque,self-portrait
77921.jpg,Lucas Cranach the Elder,Northern Renaissance,allegorical painting
1164.jpg,Thomas Gainsborough,Rococo,landscape
19385.jpg,Lyonel Feininger,Cubism,cityscape
65895.jpg,Jan van Eyck,Northern Renaissance,portrait
99733.jpg,Utagawa Kuniyoshi,Ukiyo-e,illustration
73690.jpg,Utagawa Kuniyoshi,Ukiyo-e,illustration
93715.jpg,Utagawa Kuniyoshi,Ukiyo-e,illustration
47170.jpg,Utagawa Kuniyoshi,Ukiyo-e,illustration
100979.jpg,Utagawa Kuniyoshi,Ukiyo-e,illustration
47203.jpg,Sandro Botticelli,Early Renaissance,religious painting
56906.jpg,William Turner,Romanticism,marina
48590.jpg,Claude Lorrain,Classicism,mythological painting
31337.jpg,Georges Seurat,Pointillism,genre painting
7071.jpg,Johannes Vermeer,Baroque,genre painting
60585.jpg,Claude Lorrain,Classicism,cityscape
5194.jpg,Lorenzo Lotto,High Renaissance,portrait
17354.jpg,Henri de Toulouse-Lautrec,Post-Impressionism,genre painting
41541.jpg,Konstantin Somov,Art Nouveau (Modern),interior
55537.jpg,Giovanni Bellini,High Renaissance,religious painting
45704.jpg,William Hogarth,Rococo,self-portrait
633.jpg,Thomas Eakins,Realism,nude painting (nu)
840.jpg,Paolo Veronese,Mannerism (Late Renaissance),portrait
81750.jpg,Ivan Aivazovsky,Romanticism,marina
42784.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
59919.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
54395.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
10709.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
31234.jpg,August Macke,Expressionism,genre painting
97081.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
24597.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
73181.jpg,Carlos Saenz de Tejada,Art Nouveau (Modern),history painting
29616.jpg,Gustave Caillebotte,Impressionism,genre painting
96174.jpg,Ferdinand Hodler,Art Nouveau (Modern),genre painting
36382.jpg,Konstantin Vasilyev,Symbolism,mythological painting
19784.jpg,Konstantin Vasilyev,Symbolism,mythological painting
95721.jpg,Franz Stuck,Symbolism,portrait
